"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Brazil","Metal ores","Exports","EXP","t","31088999","33246946","32411996","46727128","61373220","74728578","69342580","60567067","69526871","80078658","85337033","94293338","88290198","86531498","105176005","108846227","94123129","108439852","133336630","139288112","133917769","134953343","129431040","138560385","143994238","150595127","149480620","153395550","169848171","160719407","178576719","176676591","189843761","201922513","243089183","258050640","273777591","299542535","312643825","290363260","340102786","363453352","357477020","360283031","377738597","405044305","413954549","422458001","424341180","385842599","385300496","401492326","410862634","422114405","433800518"
"Brazil","Metal ores","Imports","IMP","t","2648160","1534266","1407165","2278924","4875985","3408045","1660288","1618515","1348509","1358987","1378001","1524944","1018087","630359","684937","751475","1477571","1898518","1456596","1571729","1499914","1961779","1880459","1935689","1800535","1913950","1587311","2107064","2251221","2056087","2387749","2606361","1988407","1995539","2266706","2334800","3756938","4116815","4991436","4125170","8334710","6521031","6255935","6075436","6652277","5788665","4405263","3698818","3538399","4538094","4479637","4651450","4792290","4912064","5043235"
"Brazil","Metal ores","Material Footprint (RMC)","MF","t","22234666","22726659","24706764","31127732","42377948","49591389","54205550","50584893","51338947","56641654","57673423","60835639","67683555","60434928","71991650","83671456","86256224","90632383","99936144","105255610","120867723","106399792","109206135","100100444","102120283","113209333","114323629","112196560","122597140","108867107","111367416","105860344","87465074","89860829","97372184","109887285","121328529","175922941","201886350","167312295","217110778","217046881","198274897","215755693","217541842","167546962","144732895","147023362","153136830","144313960","130532745","139050738","148945826","153773011","158312654"
"Brazil","Metal ores","Physical Trade Balance","PTB","t","-28440839","-31712680","-31004831","-44448204","-56497235","-71320533","-67682292","-58948552","-68178362","-78719671","-83959031","-92768394","-87272111","-85901139","-104491069","-108094752","-92645558","-106541335","-131880034","-137716383","-132417856","-132991564","-127550581","-136624696","-142193703","-148681177","-147893310","-151288486","-167596950","-158663320","-176188970","-174070230","-187855354","-199926974","-240822477","-255715840","-270020652","-295425720","-307652388","-286238090","-331768076","-356932321","-351221085","-354207594","-371086320","-399255640","-409549286","-418759182","-420802781","-381304504","-380820859","-396840876","-406070344","-417202341","-428757283"
"Brazil","Metal ores","Raw Material Equivalents of exports","RME_EXP","t","31789060","32546243","33222271","38786639","50975898","58779616","58600872","52828928","58504853","69786534","88846213","73828965","71853924","96535087","121244984","136589107","132306559","148804865","168192407","136861451","158815722","164502691","159281407","162608576","189938818","191783149","181858464","198813506","205350611","215395483","236591940","239472266","248526648","268678264","309410782","315831820","355188212","369214040","356828469","372862062","382475095","479795422","446861810","377537878","467942979","521785373","542425481","557736266","553566858","517438576","518825028","545375822","484705610","479453767","488933314"
"Brazil","Metal ores","Raw Material Equivalents of imports","RME_IMP","t","6503816","6516928","7169211","8067879","8936298","8904773","10182501","10504127","10154304","10052546","8960984","10849740","12275258","9374199","9920702","10809094","10881809","10555980","10906867","14182671","13231926","16082968","17512346","20094862","23266621","34077644","38570547","42493560","49178268","45948944","53457177","55313673","44067036","43393773","46753593","49782398","57768903","70455550","79408776","73942155","88783294","89763439","88245940","103157406","90725964","67280070","59026974","60287341","61742425","63360803","54865080","64441638","70898888","73270389","75651323"
"Brazil","Non-metallic minerals","Domestic Extraction","DE","t","68139905","78094944","91344643","110287894","115618673","152138582","212293739","214778075","307993135","346882766","388711547","407667357","373613925","298063743","302708392","357385081","404922206","418429729","422065211","409557133","453655713","449707347","441906235","436934951","450239108","465052774","508643923","534145857","572402718","550748935","556737127","553615733","549953593","507019338","523900399","535917058","592579054","624788620","677364601","673134373","775352727","1155836165","1279013169","1251850057","1130423672","1100613504","1080850507","1067669715","1059759834","1106949139","1116204216","1167805615","1184025118","1213666355","1254873698"
"Brazil","Non-metallic minerals","Domestic Material Consumption","DMC","t","70725688","79994888","94786752","113340063","119847174","155100118","216234761","219401171","311730465","350327980","392165072","409865631","375207084","298538446","303692345","358603071","408237272","421372089","423029332","410719786","454815930","451084087","443233069","438696905","452668327","466994766","511718092","537858132","575658271","553494758","561369209","557854524","554095022","511865248","530346982","538316030","595131542","632072570","684506863","678018837","783322091","1168643854","1291249744","1266939513","1146333807","1112423596","1094835754","1076495432","1069704436","1118477595","1127804807","1179919480","1196141503","1226041198","1267770296"
"Brazil","Non-metallic minerals","Domestic Material Input","DMI","t","70803857","80112769","94907309","113506135","120032015","155302328","216383182","219664666","312133935","350909566","392986142","410535018","375987787","299612989","304798856","359477897","409081988","422250729","424394711","412061299","456269118","452621299","444948313","441092006","455004721","469460218","514229745","540858663","579185738","557201052","565952458","562538610","559263577","518159347","537675006","546277523","603827123","640559193","692143352","684667182","790881392","1175732809","1297846103","1274466750","1154235342","1120132468","1102568213","1083970760","1076758062","1125129381","1134255488","1186744468","1203194732","1233276531","1275123778"
"Brazil","Non-metallic minerals","Exports","EXP","t","78169","117881","120557","166072","184841","202210","148421","263495","403470","581586","821069","669387","780703","1074543","1106511","874826","844716","878639","1365379","1341513","1453188","1537212","1715243","2395101","2336394","2465452","2511653","3000532","3527466","3706294","4583249","4684085","5168555","6294099","7328025","7961493","8695581","8486624","7636489","6648345","7559301","7088955","6596358","7527237","7901535","7708872","7732459","7475328","7053626","6651786","6450681","6824988","7053229","7235333","7353482"
"Brazil","Non-metallic minerals","Imports","IMP","t","2663953","2017824","3562666","3218241","4413342","3163746","4089443","4886591","4140800","4026799","4274594","2867660","2373861","1549246","2090463","2092816","4159782","3821000","2329500","2504166","2613405","2913952","3042077","4157055","4765612","4407444","5585822","6712807","6783020","6452117","9215330","8922877","9309984","11140009","13774607","10360465","11248069","15770574","14778752","11532809","15528665","19896644","18832934","22616693","23811670","19518964","21717707","16301045","16998227","18180242","18051272","18938854","19169614","19610176","20250080"
"Brazil","Non-metallic minerals","Material Footprint (RMC)","MF","t","55126723","62533518","74576789","92105716","98302392","128396185","179981213","183337049","256953698","284317952","304101227","334986611","313784359","235174254","239543515","284631468","321496284","329232311","332648852","342306506","377797364","360421925","355250570","354361473","366133408","398178650","443021043","471883100","507021324","481692366","468746794","444480439","413575878","352241997","347160040","387809576","476266226","540483893","580235719","587360375","676681586","953146121","1042281375","1037026433","946849043","872704191","831557534","802230589","796210722","811444613","816823206","821732155","852387450","879533024","910872191"
"Brazil","Non-metallic minerals","Physical Trade Balance","PTB","t","2585784","1899944","3442109","3052169","4228502","2961536","3941022","4623096","3737330","3445214","3453525","2198273","1593159","474703","983952","1217990","3315066","2942360","964122","1162653","1160217","1376740","1326834","1761954","2429219","1941992","3074168","3712275","3255553","2745823","4632081","4238792","4141429","4845910","6446582","2398972","2552488","7283950","7142262","4884464","7969364","12807688","12236575","15089456","15910135","11810092","13985248","8825717","9944601","11528456","11600591","12113865","12116385","12374843","12896597"
"Brazil","Non-metallic minerals","Raw Material Equivalents of exports","RME_EXP","t","18904582","21766083","23621022","26288637","26123208","32630569","42020570","42160706","62255637","73637662","94461070","83721532","70696718","71760060","72343542","82612263","93929127","100260846","100929692","80835194","87931573","102586022","102536277","102046003","109202790","105785636","104137586","112448885","121254203","126928591","147721559","170343193","190497191","209525639","236626397","222822512","217394570","220939534","249433517","199241008","239880025","367488413","408865163","388122677","339191494","348353207","356040476","380499868","387435665","417530254","406803979","469390716","420064161","421391972","431760018"
"Brazil","Non-metallic minerals","Raw Material Equivalents of imports","RME_IMP","t","5891401","6204656","6853168","8106459","8806927","8888172","9708043","10719680","11216199","11072848","9850749","11040785","10867152","8870571","9178665","9858650","10503205","11063428","11513334","13584567","12073224","13300600","15880612","19472525","25097090","38911512","38514705","50186129","55872809","57872022","59731225","61207900","54119476","54748298","59886037","74715030","101081742","136634807","152304635","113467009","141208884","164798369","172133368","173299054","155616865","120443894","106747504","115060742","123886553","122025729","107422969","123317257","134538622","141444603","147141609"
"Canada","Biomass","Domestic Extraction","DE","t","202406052","222005715","217448311","233686185","222772988","228946834","251343887","250606005","254343353","244436468","248757611","259834528","257375496","259365669","258729995","268218901","288087016","285576432","255054106","276248301","282743487","278467631","278035997","291138306","294777355","305340936","322724690","312106903","312698309","329584916","325752353","296198878","288013590","308870301","338934835","343225695","325733110","309975527","318119879","292023318","298161986","304837677","313463430","357094030","325471446","333075392","349634491","349020215","349678960","342675368","349825188","295243304","303242152","309088871","313229677"
"Canada","Biomass","Domestic Material Consumption","DMC","t","164127462","179428210","172614765","191468198","185704954","195902020","211018673","203543618","203775916","196007389","195384108","207207917","202455289","196692911","197149872","212869953","228429266","215540574","190521292","221688838","222144796","209974771","211283404","226177410","221500936","237173544","254724603","243244312","243992406","258546922","254354566","229663695","228915048","248203499","268043704","272425556","249696645","239894570","254936662","230068202","229770241","233216304","238582450","279460390","236848533","245610563","259810255","256753392","257978454","258076386","257444576","211895862","218007425","221934894","224339751"
"Canada","Biomass","Domestic Material Input","DMI","t","208866950","228478904","225040331","241941438","232063354","237887106","261054489","259598032","263616385","255042408","258835944","270180360","266560986","268846936","269407934","279302178","300359811","297424833","266887690","288238496","293323240","289354435","291699282","305631528","310665137","323280361","340211898","332929463","333629950","350079710","351316286","323368189","315649014","336292436","364870071","369627666","350520628","336761294","344918379","315615983","321546081","327040626","335699577","380825915","348835074","356938942","374632678","373489416","376648974","369628251","375653057","322919374","331571088","337872131","342287710"
"Canada","Biomass","Exports","EXP","t","44739487","49050694","52425566","50473240","46358400","41985086","50035816","56054414","59840470","59035019","63451836","62972442","64105697","72154025","72258062","66432224","71930544","81884259","76366399","66549659","71178444","79379665","80415877","79454118","89164201","86106817","85487295","89685151","89637544","91532788","96961720","93704493","86733966","88088937","96826367","97202110","100823983","96866724","89981716","85547781","91775840","93824323","97117127","101365525","111986541","111328380","114822423","116736025","118670520","111551865","118208481","111023512","113563664","115937236","117947959"
"Canada","Biomass","Imports","IMP","t","6460898","6473189","7592021","8255253","9290366","8940272","9710602","8992027","9273032","10605940","10078333","10345832","9185490","9481267","10677939","11083277","12272794","11848400","11833584","11990195","10579753","10886805","13663285","14493222","15887781","17939426","17487208","20822560","20931641","20494794","25563934","27169311","27635423","27422135","25935235","26401971","24787518","26785767","26798500","23592664","23384095","22202950","22236147","23731885","23363628","23863550","24998188","24469202","26970014","26952884","25827869","27676070","28328936","28783260","29058033"
"Canada","Biomass","Material Footprint (RMC)","MF","t","208657890","223064296","220578985","228891461","229620272","236310847","253452139","248057080","242475035","235763894","242443956","256980200","261978738","255338399","257526959","258201765","264062159","266401172","254286517","275524673","266000785","222768864","211928238","216077781","216091840","211313728","224124852","222407992","222461947","229142457","225109702","223024966","229367024","255589571","266985657","274864725","264123122","266657468","260781738","258151980","260128883","259008715","262552411","283606065","260835304","261367291","268006662","269423569","266571481","259824602","273904678","245592732","251746399","251634159","254975708"
"Canada","Biomass","Physical Trade Balance","PTB","t","-38278589","-42577505","-44833545","-42217987","-37068034","-33044814","-40325214","-47062387","-50567437","-48429079","-53373503","-52626611","-54920207","-62672758","-61580123","-55348948","-59657750","-70035858","-64532814","-54559463","-60598691","-68492860","-66752592","-64960896","-73276419","-68167392","-68000087","-68862591","-68705903","-71037994","-71397786","-66535183","-59098542","-60666803","-70891131","-70800138","-76036466","-70080957","-63183217","-61955117","-68391745","-71621373","-74880980","-77633640","-88622914","-87464830","-89824235","-92266823","-91700506","-84598981","-92380613","-83347442","-85234727","-87153977","-88889926"
"Canada","Biomass","Raw Material Equivalents of exports","RME_EXP","t","89766628","95684665","95218209","104495049","96062458","96198128","105754833","108603672","117318917","114651131","113987830","115737073","112642842","118385405","119956660","125094090","138176594","135891064","120461171","127154033","132267786","125247425","129325896","139411853","145178203","159548131","168410269","164433178","164610372","180523441","182564991","156397114","144603380","146790782","166083250","167938002","162032206","151506674","161375484","129958126","138911616","148757932","155256792","180776988","169686164","169010962","181040197","183199477","187736441","183909568","170936151","149448247","149468970","153966396","155478713"
"Canada","Biomass","Raw Material Equivalents of imports","RME_IMP","t","96018467","96743246","98348884","99700325","102909741","103562140","107863085","106054747","105450599","105978557","107674175","112882746","117246084","114358135","118753624","115076954","114151737","116715804","119693582","126430405","115525084","69548659","63218137","64351328","66492688","65520923","69810431","74734267","74374010","80080982","81922339","83223202","85956813","93510051","94134072","99577032","100422217","108188615","104037343","96086787","100878512","102928970","104345774","107289023","105050022","97302861","99412368","103602831","104628962","101058802","95015641","99797674","100969873","99881643","100924198"
"Canada","Fossil fuels","Domestic Extraction","DE","t","144780317","161338486","186241811","204069521","195018306","185603526","186946882","196496278","202553595","247154698","259713505","244029933","266218199","300517445","288428423","320064503","322604662","333544947","369299788","374073102","375276709","395454497","408822046","430065082","459550335","484801157","492940653","509038401","527328253","532501496","535530555","561029834","625156283","621098299","648458867","637086191","738264134","874483683","829410113","898817435","931891005","992956750","1041743256","1079253394","1115045511","1127243832","1049533011","1218212643","1219685613","1326290529","1284847230","1351176117","1370259477","1377436086","1376693602"
"Canada","Fossil fuels","Domestic Material Consumption","DMC","t","140227017","152140957","172270668","178249092","177413835","179646273","186299438","199225544","205046587","249417210","263386156","246727215","258233437","283649453","262233330","280082450","285174910","292077669","318494981","323176585","323898501","329880154","338854681","350968380","368826832","381666626","391356657","406555595","420847936","431485498","434459467","462369994","526996732","526367674","546646346","533673970","630662484","764968185","722395939","797875911","820993271","872700100","921714051","938808387","969684750","984580858","883001387","1045719097","1033511225","1134506730","1104991764","1156533551","1174092738","1181224764","1181229416"
"Canada","Fossil fuels","Domestic Material Input","DMI","t","191490339","212279387","244528729","262650272","249377718","242472666","238205233","245432789","247962811","295671108","303444603","284777908","299100214","328195790","319257821","348895888","353888071","368005093","409185357","413058299","416419708","435168291","448384880","468418761","500521082","524427719","539946491","562479587","585251137","593872997","605317494","632945875","695412074","694957767","721134947","712474492","809959651","946055465","904895485","969619333","1000873764","1061630790","1115761962","1147416847","1178678476","1195878294","1119546106","1285207668","1284045106","1395758142","1347016998","1408566200","1428329222","1435649154","1434630120"
"Canada","Fossil fuels","Exports","EXP","t","51263322","60138430","72258061","84401180","71963882","62826393","51905795","46207245","42916224","46253899","40058447","38050692","40866777","44546336","57024491","68813438","68713161","75927424","90690376","89881713","92521206","105288137","109530199","117450381","131694250","142761094","148589835","155923992","164403202","162387499","170858027","170575881","168415343","168590094","174488600","178800522","179297167","181087280","182499546","171743422","179880494","188930690","194047912","208608460","208993726","211297436","236544719","239488571","250533881","261251412","242025235","252032649","254236484","254424391","253400705"
"Canada","Fossil fuels","Imports","IMP","t","46710022","50940901","58286918","58580751","54359412","56869140","51258351","48936511","45409216","48516410","43731098","40747975","32882015","27678345","30829398","28831385","31283409","34460146","39885569","38985197","41142999","39713794","39562834","38353679","40970747","39626562","47005838","53441186","57922884","61371501","69786939","71916041","70255791","73859468","72676080","75388301","71695517","71571782","75485372","70801898","68982759","68674040","74018706","68163453","63632965","68634462","70013095","66995025","64359493","69467613","62169769","57390083","58069745","58213069","57936519"
"Canada","Fossil fuels","Material Footprint (RMC)","MF","t","138061111","149240668","162912737","168107529","166751775","158179842","171577321","169270075","164760162","191551815","200230955","194086787","205232397","227252216","217317316","232368513","233125774","240653344","268279133","279754377","273131261","270515042","280606166","275167034","271886479","268714243","271193528","279735698","271248509","265866956","274331106","279995458","316929495","332346283","344529540","356770225","411654296","491608375","480881804","552707651","584110383","611425187","632105342","643916624","643131190","622515644","555409923","648469706","642536430","702178798","726351861","718011944","727854898","725065559","727243901"
